PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS_per_min,AST_per_min,STL_per_min,BLK_per_min,TREB_per_min,TOV_per_min,FG_PCT,PLUS_MINUS_per_min,CLUTCH_SCORE
James Harden,LAC,3.9,0.717948717948718,0.1794871794871795,0.025641025641025644,0.025641025641025644,0.12820512820512822,0.1794871794871795,0.377,0.0,0.2851358974358974
Jared McCain,PHI,3.4,0.3823529411764706,0.0,0.0,0.0,0.17647058823529413,0.08823529411764706,0.375,-0.4705882352941177,0.1272058823529412
Javonte Green,CLE,3.0,0.2333333333333333,0.03333333333333333,0.09999999999999999,0.0,0.2333333333333333,0.03333333333333333,0.429,0.3333333333333333,0.19039999999999999
Jaylen Brown,BOS,3.9,0.6923076923076924,0.07692307692307693,0.05128205128205129,0.025641025641025644,0.15384615384615385,0.07692307692307693,0.511,0.5641025641025642,0.3478948717948719
Jayson Tatum,BOS,4.3,0.6976744186046512,0.186046511627907,0.023255813953488375,0.023255813953488375,0.20930232558139536,0.06976744186046512,0.427,0.3023255813953489,0.33223488372093024
Jeremy Sochan,SAS,3.6,0.25,0.02777777777777778,0.02777777777777778,0.02777777777777778,0.16666666666666669,0.0,0.538,-0.5,0.11074444444444446
Jimmy Butler III,GSW,4.0,0.65,0.1,0.025,0.025,0.30000000000000004,0.05,0.415,0.25,0.31775000000000003
John Collins,UTA,4.2,0.38095238095238093,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.30952380952380953,0.09523809523809523,0.4,-0.5238095238095238,0.1495238095238095
Jordan Clarkson,UTA,3.8,0.6842105263157895,0.07894736842105263,0.0,0.0,0.15789473684210525,0.10526315789473685,0.313,-0.5,0.21287894736842106
Jordan Hawkins,NOP,3.4,0.29411764705882354,0.029411764705882356,0.0,0.0,0.029411764705882356,0.029411764705882356,0.75,-0.4411764705882353,0.125
Josh Giddey,CHI,3.2,0.46875,0.25,0.03125,0.03125,0.3125,0.0625,0.36,0.28125,0.27818750000000003
Josh Hart,NYK,5.1,0.29411764705882354,0.07843137254901962,0.03921568627450981,0.0,0.25490196078431376,0.058823529411764705,0.385,0.17647058823529413,0.19046078431372548
Jrue Holiday,BOS,3.3,0.42424242424242425,0.09090909090909091,0.030303030303030307,0.030303030303030307,0.15151515151515152,0.030303030303030307,0.458,0.6363636363636365,0.2715575757575757
Julius Randle,MIN,3.7,0.37837837837837834,0.08108108108108107,0.02702702702702703,0.0,0.16216216216216217,0.08108108108108107,0.467,-0.24324324324324323,0.16629459459459459
Justin Edwards,PHI,3.1,0.1935483870967742,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.4,-0.8064516129032258,0.02790322580645163
KJ Simpson,CHA,3.4,0.4117647058823529,0.11764705882352942,0.05882352941176471,0.0,0.20588235294117646,0.08823529411764706,0.222,-0.2647058823529412,0.16190588235294118
Karl-Anthony Towns,NYK,5.0,0.36,0.06,0.04,0.04,0.24000000000000002,0.04,0.543,0.1,0.21830000000000005
Kawhi Leonard,LAC,3.2,0.40625,0.03125,0.03125,0.03125,0.1875,0.0625,0.318,-0.34375,0.15211249999999998
Keegan Murray,SAC,4.2,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.16666666666666666,0.0,0.438,0.047619047619047616,0.11522857142857142
Keldon Johnson,SAS,3.4,0.4117647058823529,0.029411764705882356,0.11764705882352942,0.0,0.2058823529411765,0.0,0.545,-0.029411764705882356,0.21773529411764708
Kelly Oubre Jr.,PHI,3.8,0.34210526315789475,0.026315789473684213,0.0,0.0,0.13157894736842107,0.026315789473684213,0.407,-0.026315789473684213,0.16175263157894737
Kentavious Caldwell-Pope,MEM,3.0,0.19999999999999998,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.294,0.06666666666666667,0.11106666666666666
Keon Ellis,SAC,3.0,0.2333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.417,-0.13333333333333333,0.12503333333333333
Kevin Durant,PHX,3.5,0.8857142857142858,0.08571428571428572,0.0,0.05714285714285715,0.17142857142857143,0.028571428571428574,0.477,0.028571428571428574,0.3534142857142857
Kevin Porter Jr.,MIL,3.2,0.5,0.03125,0.125,0.0,0.28125,0.09374999999999999,0.615,0.125,0.27399999999999997
Keyonte George,UTA,3.5,0.5428571428571428,0.08571428571428572,0.0,0.0,0.1142857142857143,0.08571428571428572,0.233,-0.6571428571428571,0.14187142857142854
Khris Middleton,WAS,3.6,0.41666666666666663,0.16666666666666666,0.02777777777777778,0.0,0.16666666666666669,0.16666666666666666,0.31,0.11111111111111112,0.20252777777777775
Kyle Filipowski,UTA,4.1,0.5121951219512195,0.04878048780487806,0.02439024390243903,0.02439024390243903,0.3170731707317074,0.07317073170731708,0.65,-0.5853658536585367,0.21256097560975612
Kyrie Irving,DAL,3.4,0.7058823529411765,0.11764705882352942,0.029411764705882356,0.029411764705882356,0.11764705882352942,0.08823529411764706,0.382,0.08823529411764706,0.2882
LaMelo Ball,CHA,3.9,0.6923076923076924,0.20512820512820515,0.025641025641025644,0.0,0.1794871794871795,0.05128205128205129,0.375,-0.10256410256410257,0.2817307692307693
Lauri Markkanen,UTA,3.9,0.5384615384615385,0.025641025641025644,0.0,0.025641025641025644,0.10256410256410257,0.05128205128205129,0.321,-0.6410256410256411,0.14684358974358974
LeBron James,LAL,3.0,0.8666666666666667,0.19999999999999998,0.03333333333333333,0.03333333333333333,0.2333333333333333,0.06666666666666667,0.518,0.5333333333333333,0.4218
Lonzo Ball,CHI,3.6,0.25,0.11111111111111112,0.02777777777777778,0.02777777777777778,0.1388888888888889,0.02777777777777778,0.286,0.5277777777777778,0.19110000000000002
Luka Dončić,LAL,3.3,0.5757575757575758,0.18181818181818182,0.030303030303030307,0.0,0.18181818181818182,0.060606060606060615,0.395,0.30303030303030304,0.2872272727272728
Malik Monk,SAC,3.6,0.6666666666666666,0.11111111111111112,0.05555555555555556,0.02777777777777778,0.16666666666666669,0.05555555555555556,0.5,0.2777777777777778,0.3173611111111111
Mark Williams,CHA,3.6,0.6111111111111112,0.05555555555555556,0.02777777777777778,0.05555555555555556,0.4722222222222222,0.08333333333333333,0.7,0.11111111111111112,0.34291666666666665
Mason Plumlee,PHX,3.0,0.2333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.09999999999999999,0.714,-0.3666666666666667,0.13639999999999997
Max Strus,CLE,3.2,0.53125,0.0625,0.0,0.03125,0.24999999999999997,0.03125,0.455,0.43749999999999994,0.29315625
Michael Porter Jr.,DEN,3.3,0.36363636363636365,0.060606060606060615,0.030303030303030307,0.0,0.12121212121212123,0.030303030303030307,0.593,0.6363636363636365,0.2570272727272727
Mikal Bridges,NYK,4.7,0.2978723404255319,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.0851063829787234,0.02127659574468085,0.581,-0.06382978723404255,0.16395106382978722
Mike Conley,MIN,3.1,0.1935483870967742,0.12903225806451613,0.03225806451612903,0.0,0.06451612903225806,0.03225806451612903,0.25,-0.2258064516129032,0.08387096774193548
Miles Bridges,CHA,3.7,0.7297297297297297,0.08108108108108107,0.0,0.02702702702702703,0.24324324324324326,0.05405405405405406,0.408,-0.10810810810810811,0.292827027027027
Myles Turner,IND,3.7,0.37837837837837834,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.2162162162162162,0.05405405405405406,0.522,0.45945945945945943,0.250172972972973
Naji Marshall,DAL,3.1,0.48387096774193544,0.0967741935483871,0.03225806451612903,0.0,0.16129032258064516,0.03225806451612903,0.571,-0.06451612903225806,0.23048709677419352
Neemias Queta,BOS,3.2,0.18749999999999997,0.0,0.0,0.09374999999999999,0.375,0.03125,0.429,0.03125,0.16399374999999997
Nic Claxton,BKN,4.0,0.25,0.05,0.0,0.025,0.25,0.05,0.52,-0.7,0.098875
Nikola Jokić,DEN,4.2,1.0,0.2619047619047619,0.023809523809523808,0.0,0.3571428571428571,0.11904761904761904,0.562,0.42857142857142855,0.474652380952381
Nikola Jović,MIA,4.0,0.275,0.075,0.025,0.025,0.175,0.025,0.429,-0.075,0.15414999999999998
Nikola Vučević,CHI,3.1,0.48387096774193544,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.06451612903225806,0.5,-0.12903225806451613,0.22903225806451608
Norman Powell,LAC,3.8,0.8421052631578948,0.026315789473684213,0.0,0.0,0.10526315789473685,0.052631578947368425,0.538,0.2631578947368421,0.34853684210526314
OG Anunoby,NYK,5.3,0.2830188679245283,0.03773584905660378,0.05660377358490566,0.03773584905660378,0.169811320754717,0.01886792452830189,0.378,0.0,0.15808301886792453
Ochai Agbaji,TOR,3.5,0.31428571428571433,0.028571428571428574,0.0,0.0,0.14285714285714288,0.0,0.688,-0.5714285714285714,0.13022857142857144
Onyeka Okongwu,ATL,3.6,0.41666666666666663,0.05555555555555556,0.02777777777777778,0.05555555555555556,0.36111111111111105,0.02777777777777778,0.6,0.2777777777777778,0.27736111111111106
P.J. Washington,DAL,3.1,0.6451612903225806,0.0967741935483871,0.03225806451612903,0.0,0.25806451612903225,0.03225806451612903,0.481,0.0967741935483871,0.3005193548387097
Paolo Banchero,ORL,3.9,0.8205128205128206,0.07692307692307693,0.0,0.0,0.23076923076923078,0.07692307692307693,0.468,-0.10256410256410257,0.32115897435897434
Pascal Siakam,IND,4.1,0.4390243902439025,0.09756097560975611,0.04878048780487806,0.02439024390243903,0.14634146341463417,0.04878048780487806,0.488,0.39024390243902446,0.2542878048780488
Paul George,PHI,3.5,0.37142857142857144,0.05714285714285715,0.028571428571428574,0.0,0.1142857142857143,0.05714285714285715,0.35,-0.1142857142857143,0.15714285714285714
Pelle Larsson,MIA,3.7,0.13513513513513511,0.0,0.0,0.0,0.13513513513513511,0.02702702702702703,0.2,-0.18918918918918917,0.06054054054054053
Precious Achiuwa,NYK,3.7,0.35135135135135137,0.0,0.02702702702702703,0.05405405405405406,0.27027027027027023,0.0,0.545,0.5945945945945946,0.2659864864864865
Quenton Jackson,IND,5.2,0.4615384615384615,0.038461538461538464,0.07692307692307693,0.0,0.11538461538461538,0.0,0.333,0.5769230769230769,0.25637692307692306
RJ Barrett,TOR,3.8,0.7894736842105263,0.18421052631578946,0.0,0.0,0.18421052631578946,0.07894736842105263,0.411,-0.4210526315789474,0.27794210526315777
Rudy Gobert,MIN,3.2,0.25,0.03125,0.0,0.03125,0.28124999999999994,0.0625,0.615,-0.34375,0.14665625
Scottie Barnes,TOR,3.3,0.6363636363636365,0.060606060606060615,0.0,0.0,0.24242424242424243,0.060606060606060615,0.429,-0.36363636363636365,0.23683939393939396
Shaedon Sharpe,POR,3.6,0.6944444444444444,0.05555555555555556,0.02777777777777778,0.0,0.16666666666666666,0.08333333333333333,0.422,-0.05555555555555556,0.27344999999999997
Spencer Dinwiddie,DAL,3.1,0.5483870967741935,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.06451612903225806,0.359,0.2258064516129032,0.25364193548387093
Stephen Curry,GSW,3.2,1.125,0.09374999999999999,0.0,0.03125,0.15625,0.09374999999999999,0.417,0.15625,0.42529374999999997
T.J. McConnell,IND,3.1,0.6129032258064515,0.1935483870967742,0.03225806451612903,0.0,0.16129032258064516,0.0,0.556,0.3870967741935484,0.3241483870967742
Terry Rozier,MIA,4.0,0.25,0.05,0.0,0.0,0.05,0.025,0.269,-0.2,0.09315
Tobias Harris,DET,3.5,0.31428571428571433,0.05714285714285715,0.028571428571428574,0.028571428571428574,0.1142857142857143,0.028571428571428574,0.485,-0.1142857142857143,0.15707142857142856
Toumani Camara,POR,3.5,0.2285714285714286,0.028571428571428574,0.028571428571428574,0.0,0.2,0.028571428571428574,0.455,-0.14285714285714285,0.13335714285714287
Trae Young,ATL,4.0,1.0,0.25,0.025,0.0,0.075,0.1,0.364,0.225,0.392025
Trey Murphy III,NOP,3.8,0.2894736842105263,0.07894736842105263,0.052631578947368425,0.0,0.15789473684210525,0.07894736842105263,0.2,0.18421052631578946,0.1568421052631579
Tyler Herro,MIA,4.5,0.5555555555555556,0.1111111111111111,0.044444444444444446,0.022222222222222223,0.13333333333333333,0.06666666666666667,0.308,-0.24444444444444446,0.20579999999999998
Tyrese Haliburton,IND,3.8,0.8157894736842106,0.2105263157894737,0.07894736842105263,0.026315789473684213,0.10526315789473684,0.052631578947368425,0.471,0.5526315789473685,0.38920526315789467
Tyrese Maxey,PHI,4.3,1.1395348837209303,0.11627906976744186,0.04651162790697675,0.0,0.06976744186046512,0.04651162790697675,0.466,-0.0930232558139535,0.4024139534883721
Victor Wembanyama,SAS,4.0,0.625,0.075,0.05,0.05,0.275,0.075,0.37,-0.225,0.2545
Walker Kessler,UTA,3.9,0.5128205128205129,0.05128205128205129,0.0,0.07692307692307693,0.4358974358974359,0.0,0.727,-0.6923076923076924,0.23359743589743592
Yves Missi,NOP,3.0,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.571,-0.09999999999999999,0.16876666666666665
Zach LaVine,SAC,3.7,0.5135135135135135,0.05405405405405406,0.0,0.0,0.16216216216216214,0.10810810810810811,0.347,-0.37837837837837834,0.17524054054054053
